metric,eligible_state_clusters,mean_base_to_donor_ncte,mean_donor_to_base_ncte,mean_symmetric_ncte,symmetric_ci95_low,symmetric_ci95_high,mean_directional_asymmetry,asymmetry_ci95_low,asymmetry_ci95_high,positive_state_fraction,p_two_sided_sign_flip,q_bh_within_metric_family,sign_flip_exact,flow_step,layer,action_position
all,15,0.00031638549116975615,0.0005279667670020641,0.0004221761290859101,0.00023906662344173028,0.0006457800317114791,0.00033282926188181656,0.00019881521096128026,0.00047976620028015017,0.9333333333333333,0.0001220703125,0.000189623786407767,True,7,17,0
all,15,0.000814336619407714,0.0010641199114748878,0.0009392282654413008,0.0006753252335753717,0.0012147737127428894,0.0007501294927615365,0.0005011327891882387,0.0010401646182532924,1.0,6.103515625e-05,9.765625e-05,True,7,17,1
all,15,0.001592968441071437,0.0019456514606877888,0.0017693099508796128,0.0014517315753956267,0.002075381393563514,0.00140387542807209,0.0009699972694886487,0.0018614990825116782,1.0,6.103515625e-05,9.765625e-05,True,7,17,2
all,15,0.0025098388154286967,0.0033283531583787815,0.0029190959869037397,0.002630181306431835,0.003198411661915331,0.0018576880498342833,0.001303109859070025,0.0024398394682449208,1.0,6.103515625e-05,9.765625e-05,True,7,17,3
all,15,0.0031009409042119587,0.003967502250604197,0.0035342215774080764,0.0032436507871436457,0.003833409585902876,0.0017609600063166018,0.0011661905215055801,0.002396171812243494,1.0,6.103515625e-05,9.765625e-05,True,7,17,4
all,15,0.0037263895226318728,0.004894694271964289,0.0043105418972980815,0.003977207157386487,0.004686846898517182,0.0016408104054041015,0.001061485968576454,0.002300912129381655,1.0,6.103515625e-05,9.765625e-05,True,7,17,5
all,15,0.004058388868885076,0.004513351214655215,0.004285870041770145,0.003952725772150082,0.004664382626013468,0.0009568519171526645,0.0005427577064984108,0.001474525708433888,1.0,6.103515625e-05,9.765625e-05,True,7,17,6
all,15,0.004017262074887466,0.004486886804845889,0.004252074439866677,0.0038755948063308177,0.004616368343882019,0.0010009884667010064,0.0006528294635591231,0.0013577188066485517,1.0,6.103515625e-05,9.765625e-05,True,7,17,7
all,15,0.004431425596769284,0.004107732681298952,0.0042695791390341175,0.0038896055469447095,0.004622246044891675,0.001076119972288767,0.0007726524134324406,0.0014794087161726463,1.0,6.103515625e-05,9.765625e-05,True,7,17,8
all,15,0.004223151590698885,0.003886736326774012,0.004054943958736448,0.0037407919801891554,0.0043617601585747385,0.0013147419956664535,0.0008879643913633392,0.001802394706330029,1.0,6.103515625e-05,9.765625e-05,True,7,17,9
all,15,-0.0009334605648698002,-0.000746995717184403,-0.0008402281410271016,-0.0013902639631967965,-0.00037178125795461097,0.0007899459092883081,0.00038300746714833655,0.0013221923661877778,0.06666666666666667,0.000640869140625,0.0009321732954545455,True,8,0,0
all,15,-0.0017886706592236637,-0.002084618396082502,-0.0019366445276530829,-0.0027229344447194767,-0.0012214812790732328,0.0013570903433335149,0.0009014653905399352,0.001842225526854409,0.0,6.103515625e-05,9.765625e-05,True,8,0,1
all,15,-0.0046302651857913265,-0.005602716646978503,-0.005116490916384915,-0.0061722709828210065,-0.004052844632495769,0.0017471599386070559,0.0012684851886659082,0.0022109737991549247,0.0,6.103515625e-05,9.765625e-05,True,8,0,2
all,15,-0.008448075864115397,-0.011894259775737888,-0.010171167819926644,-0.011343265380203044,-0.008986206533232552,0.0037830243022896944,0.002517785527674857,0.005316935865896083,0.0,6.103515625e-05,9.765625e-05,True,8,0,3
all,15,-0.01370446340964476,-0.016687508529633598,-0.015195985969639177,-0.016287919009840144,-0.014126891675774508,0.003918831001118379,0.002122484937842616,0.006488070500423992,0.0,6.103515625e-05,9.765625e-05,True,8,0,4
all,15,-0.018664770461747873,-0.02212385882851141,-0.020394314645129644,-0.021308181488237262,-0.019436841568778715,0.004275233270192421,0.0024793674405897887,0.006702376638316804,0.0,6.103515625e-05,9.765625e-05,True,8,0,5
all,15,-0.025551888676935173,-0.020695862651720187,-0.02312387566432768,-0.024240028520416228,-0.022121076853871047,0.005108669226142605,0.0036437858192176343,0.00666200397609897,0.0,6.103515625e-05,9.765625e-05,True,8,0,6
all,15,-0.025360583883781082,-0.022984187594934754,-0.024172385739357916,-0.0254835987628007,-0.023022546904255644,0.0029337755798078224,0.0018780194909209008,0.004199513214026447,0.0,6.103515625e-05,9.765625e-05,True,8,0,7
all,15,-0.027563174321482104,-0.021054362623090937,-0.02430876847228652,-0.025799206813782446,-0.02306754151731516,0.006508811698391167,0.005189091322453272,0.007891782619819317,0.0,6.103515625e-05,9.765625e-05,True,8,0,8
all,15,-0.02459567213158267,-0.02055141814820099,-0.022573545139891838,-0.024088472406793175,-0.021179257923366595,0.004044253983381683,0.002942402616056076,0.0051612709681155685,0.0,6.103515625e-05,9.765625e-05,True,8,0,9
all,15,-0.0006518294435649948,-0.00048086042631657433,-0.0005663449349407845,-0.0009816376064923458,-0.00021109035610835975,0.0007302232880001788,0.00044025895460453074,0.0010532658506234396,0.2,0.00347900390625,0.004798626077586207,True,8,8,0
all,15,-0.0015300861405787326,-0.0018067272231640495,-0.001668406681871391,-0.0024082859782819746,-0.0010402172095006657,0.001106954315352134,0.0006538371480010888,0.001635165340847338,0.0,6.103515625e-05,9.765625e-05,True,8,8,1
all,15,-0.004505857170526831,-0.004338067131774116,-0.004421962151150473,-0.0055411143606603624,-0.0032889156450895607,0.0022216897893693912,0.0015077637114520894,0.0029789499435232875,0.0,6.103515625e-05,9.765625e-05,True,8,8,2
all,15,-0.009269111525294386,-0.010416885267504743,-0.009842998396399566,-0.011248474051336407,-0.008430474494711637,0.0024033383774252483,0.0014329904769859142,0.0035711805865858595,0.0,6.103515625e-05,9.765625e-05,True,8,8,3
all,15,-0.014601122432316453,-0.014927793381112811,-0.014764457906714629,-0.01628829502309407,-0.013260684622070041,0.0026024626650475334,0.0015270381741011646,0.003822112851397784,0.0,6.103515625e-05,9.765625e-05,True,8,8,4
all,15,-0.01911753491388355,-0.018717363868982907,-0.01891744939143323,-0.020442350459889663,-0.017400083635235427,0.002160987536459309,0.0011658855863394455,0.003413958371603398,0.0,6.103515625e-05,9.765625e-05,True,8,8,5
